C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU1872,0.4141,0.1304,0.3391,0.169,0.164,0.493,50.4,0.676,0.702,136,141,-0.831206,0.028369,NA
DVU1873,0.5806,0.1087,0.3016,0.409,0.315,0.61,42.17,0.703,0.567,182,190,-0.191053,0.089474,NA
DVU1874,0.5729,0.0937,0.4574,0.247,0.137,0.486,39.27,0.816,0.636,850,865,-0.345665,0.049711,NA
DVU1875,0.5581,0.1705,0.3378,0.218,0.188,0.495,43.57,0.723,0.578,101,105,0.264762,0.047619,NA
DVU1876,0.5521,0.1059,0.4494,0.243,0.138,0.498,39.45,0.817,0.672,311,316,-0.597468,0.088608,NA
DVU1877,0.5779,0.1148,0.384,0.273,0.219,0.54,40.05,0.802,0.657,348,366,-0.25,0.112022,NA
DVU1878,0.5371,0.1061,0.4323,0.318,0.252,0.566,39.32,0.784,0.616,320,340,0.044118,0.088235,NA
DVU1879,0.4424,0.1333,0.4044,0.208,0.082,0.448,45.64,0.724,0.648,348,366,0.016667,0.062842,NA
DVU1880,0.4798,0.1394,0.3758,0.234,0.046,0.468,43.65,0.693,0.57,205,213,-0.342723,0.075117,NA
DVU1881,0.5775,0.1859,0.3187,0.225,0.089,0.459,41.64,0.742,0.602,329,338,-0.063018,0.059172,NA
DVU1882,0.5598,0.1511,0.3769,0.261,0.214,0.533,41.19,0.772,0.62,768,786,-0.074428,0.061069,NA
DVU1883,0.4928,0.12,0.4274,0.243,0.139,0.494,45.81,0.756,0.656,156,162,0.10679,0.061728,NA
DVU1884,0.4581,0.1491,0.3732,0.216,0.053,0.445,48.01,0.699,0.624,773,800,0.0505,0.04125,NA
DVU1885,0.5725,0.0732,0.4532,0.271,0.147,0.502,37.75,0.81,0.624,464,476,-0.184874,0.067227,NA
DVU1886,0.5967,0.1488,0.4062,0.252,0.167,0.512,38.23,0.805,0.639,215,225,-0.365333,0.062222,NA
DVU1887,0.581,0.0993,0.4653,0.298,0.266,0.568,38.48,0.817,0.615,551,580,-0.424828,0.096552,NA
DVU1888,0.5,0.1165,0.3176,0.218,0.141,0.478,45.42,0.72,0.662,293,299,0.297659,0.040134,NA
DVU1889,0.6457,0.1154,0.2966,0.376,0.343,0.62,37.13,0.78,0.628,200,208,-0.043269,0.057692,NA
DVU1890,0.6527,0.1351,0.3278,0.255,0.217,0.531,35.06,0.814,0.656,307,315,-0.054286,0.034921,NA
DVU1891,0.5256,0.1011,0.4655,0.264,0.18,0.512,40.7,0.802,0.64,242,253,-0.499605,0.098814,NA
DVU1892,0.3953,0.1313,0.4688,0.207,0.079,0.444,50.31,0.732,0.668,239,249,-0.05502,0.068273,NA
DVU1893,0.6103,0.1216,0.397,0.277,0.272,0.569,37.7,0.813,0.635,786,806,-0.322208,0.064516,NA
DVU1894,0.4068,0.1579,0.4107,0.231,0.088,0.464,43.92,0.681,0.593,69,72,-0.088889,0.055556,NA
DVU1895,0.5559,0.1079,0.3207,0.233,0.215,0.516,41.34,0.784,0.639,366,388,0.924485,0.095361,NA
DVU1896,0.5758,0.0132,0.4583,0.387,0.296,0.593,35.68,0.826,0.632,86,87,-0.511494,0.011494,NA
DVU1897,0.5495,0.0967,0.3563,0.249,0.139,0.489,39.35,0.762,0.645,667,696,0.066523,0.077586,NA
DVU1898,0.6068,0.1068,0.3886,0.266,0.174,0.518,39.88,0.786,0.602,276,289,-0.355363,0.131488,NA
DVU1899,0.4208,0.1223,0.4033,0.224,0.157,0.5,46.97,0.68,0.618,244,251,-0.079283,0.111554,NA
DVU1900,0.4125,0.1483,0.3843,0.264,0.138,0.49,47.72,0.671,0.623,304,313,-0.073482,0.054313,NA
DVU1901,0.5532,0.0993,0.4093,0.227,0.156,0.496,42.45,0.777,0.624,337,348,-0.154023,0.051724,NA
DVU1902,0.424,0.1141,0.4609,0.21,0.042,0.43,45.46,0.747,0.656,300,312,0.060256,0.064103,NA
DVU1903,0.5118,0.1104,0.421,0.232,0.135,0.483,43.46,0.766,0.639,1112,1160,-0.238535,0.071552,NA
DVU1904,0.5625,0.1069,0.4375,0.255,0.219,0.523,43.78,0.781,0.572,155,158,0.092405,0.037975,NA
DVU1905,0.4783,0.2273,0.3364,0.232,0.161,0.496,53.94,0.664,0.603,137,142,-0.526761,0.070423,NA
DVU1906,0.5,0.1212,0.4516,0.178,0.091,0.459,46.05,0.784,0.649,37,38,-0.902632,0.026316,NA
DVU1907,0.5909,0.0682,0.3822,0.316,0.195,0.532,37.26,0.789,0.625,432,445,-0.006742,0.078652,NA
DVU1908,0.6471,0.1842,0.3081,0.274,0.243,0.549,36.49,0.787,0.639,235,241,0.021992,0.045643,NA
DVU1909,0.5505,0.1731,0.3298,0.223,0.151,0.5,43.13,0.758,0.664,120,124,0.267742,0.048387,NA
DVU1910,0.4903,0.1631,0.3393,0.209,0.084,0.451,45.6,0.731,0.674,554,574,0.113415,0.027875,NA
DVU1911,0.7258,0.082,0.3091,0.261,0.225,0.535,29.27,0.861,0.624,144,150,0.23,0.026667,NA
DVU1912,0.5,0.145,0.371,0.294,0.255,0.545,40.43,0.744,0.652,156,162,0.17284,0.055556,NA
DVU1913,0.6568,0.1064,0.3648,0.286,0.191,0.525,34.48,0.848,0.627,394,408,0.084559,0.04902,NA
DVU1914,0.6049,0.1108,0.433,0.284,0.205,0.537,37.27,0.833,0.63,527,538,-0.233643,0.066914,NA
DVU1915,0.25,0.2609,0.3788,0.229,-0.023,0.422,49.59,0.518,0.553,83,91,-0.124176,0.065934,NA
DVU1916,0.303,0.3793,0.4138,0.137,-0.314,0.268,39.83,0.537,0.488,41,43,-0.411628,0.116279,NA
DVU1917,0.6782,0.1293,0.2488,0.324,0.248,0.566,36.37,0.76,0.608,304,317,0.060568,0.085174,NA
DVU1919,0.5207,0.1983,0.3558,0.283,0.236,0.548,46.99,0.685,0.549,146,156,0.080128,0.089744,NA
DVU1920,0.2632,0.1923,0.4583,0.217,-0.118,0.35,27.43,0.525,0.504,40,41,-0.497561,0.121951,NA
DVU1921,0.6189,0.1762,0.3286,0.3,0.246,0.569,40.33,0.765,0.612,306,317,-0.136909,0.091483,NA
DVU1922,0.653,0.1101,0.3935,0.32,0.286,0.587,34.7,0.838,0.634,549,566,-0.274205,0.095406,NA
DVU1923,0.6667,0.1148,0.307,0.259,0.29,0.577,38,0.827,0.634,156,165,0.022424,0.048485,NA
DVU1924,0.6061,0.1364,0.2742,0.286,0.158,0.5,37.06,0.731,0.627,78,83,0.331326,0.048193,NA
DVU1925,0.508,0.1288,0.3312,0.252,0.192,0.517,44.98,0.719,0.648,203,213,0.056808,0.046948,NA
DVU1926,0.4933,0.2131,0.3077,0.182,0.041,0.417,49.75,0.705,0.642,156,162,0.252469,0.061728,NA
DVU1927,0.6876,0.1166,0.3313,0.33,0.276,0.577,33.35,0.827,0.637,894,938,-0.297761,0.094883,NA
DVU1928,0.617,0.0924,0.3178,0.241,0.127,0.474,39.97,0.786,0.604,154,165,0.528485,0.145455,NA
DVU1929,0.6364,0.0889,0.2683,0.181,0.066,0.414,35.3,0.793,0.605,58,65,0.596923,0.138462,NA
DVU1930,0.6092,0.1148,0.4145,0.311,0.186,0.54,38.12,0.801,0.621,302,312,-0.523077,0.070513,NA
DVU1931,0.6218,0.1538,0.3232,0.29,0.185,0.521,41.78,0.757,0.592,140,147,-0.188435,0.054422,NA
DVU1932,0.7865,0.0667,0.3014,0.4,0.365,0.634,30.49,0.852,0.611,216,223,-0.295964,0.067265,NA
DVU1933,0.5139,0.124,0.3362,0.273,0.147,0.497,47.87,0.685,0.599,165,173,-0.116185,0.069364,NA
DVU1934,0.4498,0.109,0.4355,0.234,0.153,0.484,40.48,0.736,0.598,250,266,0.763158,0.112782,NA
DVU1935,0.5708,0.0829,0.3842,0.259,0.192,0.516,41.89,0.798,0.605,252,265,0.905283,0.120755,NA
DVU1936,0.5556,0.1132,0.3724,0.284,0.194,0.52,42.44,0.754,0.614,256,265,-0.183396,0.05283,NA
DVU1937,0.6828,0.0607,0.366,0.378,0.272,0.591,33.33,0.82,0.608,328,337,-0.37092,0.11276,NA
DVU1938,0.2907,0.1622,0.4429,0.204,0.173,0.511,57.07,0.636,0.645,88,91,0.183516,0.043956,NA
DVU1939,0.468,0.0819,0.4212,0.213,0.064,0.44,43.98,0.758,0.66,405,427,0.091101,0.06089,NA
DVU1940,0.5773,0.0941,0.3915,0.309,0.24,0.555,37.9,0.802,0.663,501,516,-0.165891,0.063953,NA
DVU1941,0.6027,0.0635,0.4022,0.234,0.152,0.488,38.57,0.823,0.62,248,255,-0.067059,0.078431,NA
DVU1942,0.6084,0.127,0.3368,0.272,0.243,0.558,39.44,0.797,0.651,620,637,-0.184929,0.048666,NA
DVU1943,0.4853,0.1846,0.3898,0.195,0.175,0.493,52.27,0.747,0.593,75,77,0.305195,0.077922,NA
DVU1944,0.7324,0.1587,0.322,0.301,0.243,0.568,38.3,0.807,0.611,88,90,-0.123333,0.066667,NA
DVU1945,0.6242,0.1192,0.3453,0.259,0.172,0.51,38.21,0.799,0.632,359,382,0.001833,0.060209,NA
DVU1946,0.6609,0.1244,0.3189,0.301,0.207,0.542,37.31,0.805,0.607,262,276,-0.097826,0.072464,NA
DVU1947,0.5476,0.122,0.4076,0.258,0.18,0.517,39.85,0.776,0.609,201,207,-0.086956,0.072464,NA
DVU1948,0.75,0.1781,0.3768,0.367,0.26,0.582,35.06,0.813,0.562,91,96,-0.732292,0.114583,NA
DVU1949,0.5122,0.0847,0.5013,0.259,0.147,0.498,40.02,0.796,0.608,514,529,-0.234215,0.064272,NA
DVU1950,0.4912,0.1012,0.3642,0.255,0.197,0.518,41.2,0.749,0.655,191,198,0.314647,0.040404,NA
DVU1951,0.546,0.0857,0.3864,0.279,0.214,0.534,39.23,0.787,0.654,601,616,0.080844,0.060065,NA
DVU1952,0.4896,0.1327,0.3474,0.211,0.013,0.424,43.94,0.714,0.645,224,231,0.166667,0.038961,NA
DVU1953,0.6152,0.1081,0.3444,0.248,0.115,0.48,40.5,0.8,0.652,404,419,0.148926,0.031026,NA
DVU1954,0.5245,0.162,0.3964,0.239,0.225,0.532,43.27,0.784,0.664,222,234,-0.139316,0.076923,NA
DVU1955,0.5628,0.157,0.3767,0.243,0.115,0.492,40.16,0.759,0.646,266,277,-0.438628,0.072202,NA
DVU1956,0.3846,0.1099,0.4368,0.191,0.061,0.432,48.67,0.717,0.659,336,351,0.044159,0.068376,NA
DVU1957,0.3171,0.2778,0.2941,0.318,0.274,0.568,61,0.523,0.549,44,48,0.3375,0.125,NA
DVU1958,0.5279,0.1749,0.3354,0.227,0.165,0.508,45.82,0.722,0.618,836,865,-0.103815,0.057803,NA
DVU1959,0.5433,0.1721,0.3625,0.227,0.158,0.501,43.89,0.742,0.618,770,797,-0.214178,0.06399,NA
DVU1960,0.4542,0.1313,0.3981,0.221,0.086,0.449,47.04,0.717,0.63,668,697,0.101722,0.047346,NA
DVU1961,0.4898,0.0698,0.4538,0.235,0.187,0.494,42.16,0.797,0.645,158,167,0.253293,0.041916,NA
DVU1962,0.4614,0.137,0.4322,0.244,0.12,0.486,46.21,0.74,0.632,696,720,-0.113472,0.038889,NA
DVU1963,0.3133,0.209,0.3731,0.2,0.025,0.427,60.85,0.573,0.602,89,93,-0.196774,0.096774,NA
DVU1964,0.4113,0.1818,0.2963,0.264,0.17,0.518,48.86,0.598,0.592,164,170,-0.208235,0.023529,NA
DVU1965,0.4328,0.3,0.1636,0.155,-0.015,0.378,55.39,0.514,0.538,74,75,-0.025333,0.053333,NA
DVU1966,0.2391,0.275,0.3947,0.242,0.075,0.423,56.74,0.5,0.487,52,52,1.159615,0.096154,NA
DVU1967,0.5374,0.1957,0.2748,0.214,0.113,0.485,48.05,0.689,0.624,167,173,-0.363584,0.034682,NA
DVU1968,0.7301,0.0972,0.3779,0.367,0.329,0.609,31.97,0.862,0.592,391,413,-0.206053,0.104116,NA
DVU1969,0.5628,0.1086,0.4182,0.273,0.216,0.532,37.59,0.789,0.622,218,231,-0.025541,0.047619,NA
DVU1970,0.5289,0.1743,0.2596,0.199,0.179,0.496,50.05,0.695,0.63,131,135,-0.017778,0.022222,NA
DVU1971,0.5097,0.1549,0.3546,0.273,0.164,0.522,48.4,0.717,0.636,180,187,-0.234759,0.085561,NA
DVU1972,0.1636,0.2564,0.3947,0.243,-0.099,0.362,47.24,0.414,0.495,58,64,0.1375,0.171875,NA
DVU1973,0.4821,0.1689,0.346,0.226,0.077,0.462,48.91,0.68,0.609,266,282,-0.110638,0.067376,NA
DVU1974,0.486,0.1862,0.3443,0.256,0.179,0.515,46.68,0.7,0.626,357,367,-0.023978,0.076294,NA
DVU1975,0.4158,0.1838,0.427,0.234,0.049,0.457,51.09,0.666,0.579,584,604,-0.283941,0.031457,NA
DVU1976,0.747,0.0722,0.2871,0.367,0.275,0.58,28.82,0.814,0.619,528,547,-0.145521,0.02925,NA
DVU1977,0.7361,0.0789,0.3143,0.323,0.232,0.549,29.05,0.824,0.611,91,95,-0.234737,0.031579,NA
DVU1978,0.4778,0.0815,0.3614,0.221,0.093,0.454,43.4,0.726,0.609,412,440,0.897273,0.063636,NA
DVU1979,0.4934,0.1339,0.426,0.236,0.217,0.532,41.96,0.757,0.644,622,641,-0.454602,0.046802,NA
DVU1980,0.6111,0.1327,0.3542,0.307,0.287,0.584,34.57,0.8,0.679,125,130,-0.624615,0.061538,NA
DVU1981,0.6154,0.0794,0.5133,0.33,0.13,0.494,34.76,0.823,0.577,158,163,-0.453374,0.03681,NA
DVU1982,0.4005,0.1008,0.4644,0.185,0.056,0.424,45.31,0.753,0.681,450,462,-0.169264,0.041126,NA
DVU1983,0.5281,0.1873,0.2987,0.207,0.138,0.478,43.43,0.712,0.654,389,407,-0.101966,0.061425,NA
DVU1984,0.5146,0.195,0.3397,0.278,0.179,0.527,47.03,0.701,0.622,201,208,-0.3375,0.115385,NA
DVU1985,0.5279,0.0994,0.4433,0.238,0.155,0.5,39.03,0.772,0.617,400,418,-0.285885,0.107656,NA
DVU1986,0.5333,0.1538,0.39,0.251,0.179,0.526,48.26,0.763,0.601,135,143,0.041259,0.062937,NA
DVU1987,0.5012,0.1121,0.4443,0.243,0.197,0.523,41.2,0.778,0.639,938,956,-0.219979,0.056485,NA
DVU1988,0.4975,0.0582,0.4104,0.249,0.191,0.5,38.19,0.784,0.623,218,228,0.960088,0.065789,NA
DVU1989,0.2857,0.3043,0.2,0.126,-0.352,0.2,NA,0.4,0.495,30,33,-0.090909,0.030303,NA
DVU1990,0.6099,0.1576,0.3121,0.261,0.201,0.531,37.98,0.773,0.625,207,215,-0.133488,0.083721,NA
DVU1991,0.6264,0.1488,0.3711,0.311,0.246,0.575,38.97,0.789,0.606,308,331,-0.561027,0.099698,NA
DVU1992,0.4973,0.1486,0.3407,0.282,0.209,0.542,48.69,0.682,0.586,201,214,-0.159346,0.130841,NA
DVU1993,0.445,0.1041,0.4353,0.235,0.12,0.473,44.95,0.749,0.635,883,917,0.353871,0.050164,NA
DVU1994,0.3056,0.4722,0.25,0.134,-0.108,0.326,60.07,0.442,0.447,43,44,-0.325,0.045455,NA
DVU1995,0.4176,0.2771,0.2564,0.289,0.182,0.534,55.89,0.563,0.535,103,109,0.240367,0.073394,NA
DVU1996,0.3191,0.3218,0.2877,0.192,-0.067,0.359,59.06,0.495,0.45,103,109,1.23578,0.110092,NA
DVU1997,0.2593,0.3913,0.3333,0.191,0.131,0.484,39.5,0.452,0.404,31,33,0.345455,0.121212,NA
DVU1998,0.4773,0.2973,0.2571,0.399,0.217,0.569,54.62,0.588,0.525,51,54,-0.174074,0.111111,NA
DVU1999,0.4554,0.2021,0.2926,0.231,0.143,0.483,51.61,0.638,0.571,677,714,0.581373,0.086835,NA
DVU2002,0.3333,0.3394,0.2762,0.19,0.051,0.444,61,0.504,0.5,135,140,-0.423571,0.078571,NA
DVU2003,0.4,0.1742,0.4401,0.218,0.096,0.471,50.4,0.665,0.562,403,420,-0.490952,0.069048,NA
DVU2004,0.439,0.2107,0.4405,0.234,0.158,0.504,45.55,0.695,0.586,341,349,-0.712894,0.08596,NA
DVU2005,0.1429,0.5217,0.1111,0.118,-0.322,0.219,48.33,0.188,0.293,32,33,0.475757,0.212121,NA
DVU2006,0.2778,0.3714,0.2258,0.403,0.135,0.531,NA,0.347,0.399,49,51,-0.672549,0.078431,NA
DVU2007,0.2655,0.28,0.383,0.201,-0.023,0.405,59.92,0.504,0.495,131,138,0.094203,0.115942,NA
DVU2008,0.1538,0.25,0.3929,0.194,-0.182,0.25,61,0.386,0.326,44,44,1.409091,0.113636,NA
DVU2009,0.3645,0.3571,0.1831,0.2,-0.017,0.407,52.68,0.423,0.417,123,127,-0.402362,0.133858,NA
DVU2010,0.3422,0.2178,0.4688,0.206,0.085,0.453,61,0.63,0.541,265,274,-0.437956,0.109489,NA
DVU2011,0.6102,0.2,0.2969,0.283,0.122,0.5,43.95,0.655,0.5,84,88,-0.684091,0.068182,NA
DVU2012,0.2857,0.2766,0.3095,0.177,-0.096,0.345,61,0.466,0.47,58,61,0.563935,0.147541,NA
DVU2013,0.4652,0.1619,0.3862,0.334,0.217,0.546,47.39,0.669,0.552,535,553,-0.039602,0.083183,NA
DVU2014,0.4863,0.1389,0.3759,0.258,0.095,0.464,46.17,0.701,0.569,371,391,0.118414,0.089514,NA
DVU2015,0.3421,0.3462,0.1429,0.176,-0.029,0.415,40.92,0.39,0.357,41,42,0.254762,0.214286,NA
DVU2016,0.1853,0.3398,0.3466,0.187,-0.097,0.37,55.62,0.366,0.355,284,293,-0.123891,0.153584,NA
DVU2017,0.432,0.1723,0.4058,0.208,0.112,0.469,49.84,0.688,0.596,397,413,-0.116949,0.089588,NA
DVU2019,0.6085,0.1466,0.4031,0.338,0.244,0.566,39.18,0.766,0.557,670,689,-0.418288,0.108853,NA
DVU2020,0.5521,0.0837,0.5101,0.354,0.273,0.575,34.85,0.819,0.61,808,832,-0.372356,0.091346,NA
DVU2021,0.3793,0.2797,0.3091,0.281,0.126,0.497,56,0.51,0.46,153,155,-0.255484,0.116129,NA
DVU2022,0.5228,0.1854,0.3912,0.298,0.175,0.521,45.51,0.697,0.542,1111,1158,-0.443178,0.111399,NA
DVU2023,0.5603,0.1613,0.4,0.34,0.235,0.564,43.89,0.738,0.568,172,179,-0.443576,0.134078,NA
DVU2024,0.5745,0.0981,0.4593,0.408,0.345,0.62,38.58,0.792,0.58,342,354,-0.217232,0.096045,NA
DVU2025,0.535,0.1529,0.4182,0.335,0.266,0.575,43.1,0.724,0.567,1153,1183,-0.415807,0.087067,NA
DVU2026,0.4371,0.2,0.4275,0.293,0.217,0.537,52.96,0.642,0.517,190,196,-0.133673,0.102041,NA
DVU2027,0.3625,0.2785,0.3562,0.29,0.105,0.485,59.86,0.534,0.478,103,104,-0.181731,0.105769,NA
DVU2028,0.2679,0.2985,0.3492,0.181,-0.023,0.397,58.27,0.507,0.538,73,75,-0.412,0.066667,NA
DVU2029,0.3673,0.2281,0.3524,0.22,0.107,0.464,61,0.584,0.533,125,132,-0.25,0.045455,NA
DVU2030,0.3793,0.2271,0.3604,0.243,0.118,0.483,54.22,0.591,0.551,269,280,-0.586429,0.075,NA
DVU2031,0.4603,0.2222,0.36,0.225,0.182,0.521,43.1,0.662,0.5,71,76,0.078947,0.144737,NA
DVU2032,0.4845,0.1505,0.3462,0.275,0.143,0.5,46.39,0.701,0.627,224,237,-0.442616,0.063291,NA
DVU2033,0.4506,0.2178,0.3429,0.245,0.069,0.458,51.19,0.642,0.584,408,423,-0.343026,0.061466,NA
DVU2034,0.5,0.2289,0.359,0.302,0.181,0.53,47.6,0.678,0.548,115,121,-0.153719,0.140496,NA
DVU2035,0.2963,0.137,0.3529,0.201,0.108,0.461,54.85,0.539,0.561,89,95,-0.26,0.031579,NA
DVU2036,0.2667,0.2,0.3175,0.238,0.019,0.44,50.76,0.48,0.553,75,79,-0.329114,0.075949,NA
DVU2037,0.5036,0.1494,0.3733,0.248,0.176,0.516,47.74,0.718,0.598,312,324,-0.190741,0.089506,NA
DVU2038,0.5443,0.1733,0.274,0.26,0.156,0.5,43.94,0.67,0.588,94,98,-0.644898,0.091837,NA
DVU2039,0.6622,0.2188,0.2414,0.273,0.284,0.588,34.37,0.741,0.612,85,91,-0.212088,0.098901,NA
DVU2040,0.5278,0.3182,0.35,0.203,0.234,0.556,61,0.656,0.575,90,95,-0.984211,0.084211,NA
DVU2041,0.4238,0.1765,0.3557,0.247,0.117,0.475,54.26,0.642,0.597,318,331,0.017825,0.066465,NA
DVU2042,0.4018,0.1888,0.3514,0.214,-0.002,0.409,55.07,0.607,0.567,252,264,-0.17197,0.083333,NA
DVU2043,0.4361,0.2042,0.3384,0.229,0.108,0.473,52.22,0.652,0.602,509,533,-0.030957,0.046904,NA
DVU2044,0.3714,0.1818,0.3103,0.222,0.064,0.436,61,0.564,0.545,39,41,0.417073,0.04878,NA
DVU2045,0.3182,0.2553,0.383,0.289,0.056,0.446,57.91,0.571,0.55,56,60,-0.065,0.066667,NA
DVU2046,0.3864,0.3478,0.3333,0.203,0.072,0.463,54.37,0.574,0.595,54,56,-0.658929,0.071429,NA
DVU2047,0.3182,0.2143,0.35,0.174,0.069,0.44,61,0.56,0.562,50,54,-0.17037,0.055556,NA
DVU2048,0.3333,0.2391,0.4146,0.199,-0.088,0.339,46.7,0.571,0.518,56,56,-0.1875,0.017857,NA
DVU2051,0.1328,0.398,0.2247,0.186,-0.136,0.348,49.96,0.255,0.36,420,432,-0.396528,0.150463,NA
DVU2052,0.6414,0.0988,0.3312,0.297,0.264,0.573,39.86,0.793,0.608,227,240,-0.241667,0.0875,NA
DVU2053,0.6019,0.1471,0.2987,0.275,0.276,0.568,39.17,0.786,0.615,220,226,0.628319,0.128319,NA
DVU2054,0.5357,0.1,0.35,0.225,0.014,0.433,46.4,0.733,0.594,30,32,0.303125,0.21875,NA
DVU2055,0.5549,0.1034,0.4214,0.274,0.167,0.512,41.03,0.783,0.615,637,663,-0.251885,0.105581,NA
DVU2056,0.4167,0.1333,0.3333,0.317,0.294,0.579,61,0.632,0.625,38,40,-0.2175,0.025,NA
DVU2057,0.4899,0.141,0.3881,0.283,0.229,0.555,44.67,0.713,0.645,474,487,-0.609035,0.051335,NA
DVU2058,0.628,0.1595,0.3046,0.265,0.133,0.497,38.14,0.772,0.632,193,203,-0.040887,0.034483,NA
DVU2059,0.6678,0.0742,0.3293,0.285,0.221,0.541,33.69,0.863,0.68,320,330,0.142121,0.072727,NA
DVU2060,0.5,0.2174,0.2727,0.256,0.139,0.5,35.5,0.688,0.647,32,34,0.017647,0.058824,NA
DVU2061,0.6772,0.1072,0.3248,0.284,0.251,0.558,33.71,0.826,0.634,432,444,0.032433,0.063063,NA
DVU2062,0.5488,0.1571,0.3596,0.23,0.134,0.486,41.06,0.763,0.659,1106,1152,-0.255382,0.074653,NA
DVU2063,0.5781,0.1548,0.3678,0.241,0.24,0.54,38.97,0.793,0.665,947,984,-0.306504,0.071138,NA
DVU2064,0.6388,0.1467,0.316,0.308,0.24,0.558,35.78,0.767,0.613,360,373,0.021179,0.061662,NA
DVU2065,0.35,0.1897,0.3571,0.183,0.162,0.477,41.98,0.631,0.609,65,69,0.273913,0.043478,NA
DVU2066,0.381,0.125,0.4041,0.222,0.109,0.478,48.63,0.677,0.652,467,474,-0.405063,0.040084,NA
DVU2067,0.5358,0.0824,0.415,0.291,0.225,0.548,41.86,0.787,0.635,352,373,-0.140215,0.064343,NA
DVU2068,0.5127,0.1023,0.3835,0.238,0.092,0.455,42.6,0.746,0.623,268,280,0.090357,0.067857,NA
DVU4011,0.5,0.1163,0.3855,0.226,0.092,0.466,45.93,0.728,0.633,103,110,-0.277273,0.063636,NA
DVU2069,0.4048,0.154,0.3793,0.215,0.125,0.484,50.13,0.675,0.668,643,663,-0.268477,0.031674,NA
DVU2070,0.4528,0.1567,0.3458,0.243,0.093,0.476,47.06,0.675,0.639,252,257,-0.419455,0.058366,NA
DVU2071,0.5559,0.1154,0.3056,0.234,0.171,0.485,39.06,0.789,0.668,299,318,0.93522,0.081761,NA
DVU2072,0.5378,0.1286,0.3653,0.27,0.15,0.506,40.97,0.742,0.629,1054,1089,-0.088613,0.03214,NA
DVU2073,0.6854,0.1099,0.3537,0.252,0.112,0.478,36.34,0.796,0.544,113,122,-0.127869,0.057377,NA
DVU2074,0.4828,0.1364,0.472,0.269,0.225,0.538,49.11,0.762,0.61,210,216,0.002778,0.069444,NA
DVU2075,0.4886,0.1029,0.4762,0.267,0.2,0.516,41.79,0.788,0.625,250,258,0.123643,0.065891,NA
DVU2076,0.556,0.0807,0.5707,0.317,0.261,0.568,37.96,0.843,0.575,287,292,-0.352055,0.109589,NA
DVU2077,0.5401,0.1243,0.4172,0.253,0.158,0.495,41.28,0.772,0.637,624,642,0.044393,0.03271,NA
DVU2078,0.4746,0.1279,0.3846,0.228,0.057,0.438,44.45,0.72,0.619,347,367,0.002452,0.024523,NA
DVU2079,0.4013,0.1683,0.4394,0.221,0.117,0.473,46.4,0.702,0.613,842,870,0.04046,0.070115,NA
DVU4018,0.5158,0.1915,0.3373,0.208,0.139,0.477,44.19,0.706,0.592,109,112,0.542857,0.0625,NA
DVU2081,0.2967,0.3158,0.3151,0.122,-0.089,0.36,60.09,0.5,0.539,100,102,-0.683333,0.058824,NA
DVU2082,0.6041,0.097,0.411,0.311,0.289,0.594,36.85,0.832,0.622,286,297,-0.129966,0.037037,NA
DVU2083,0.6202,0.0861,0.4636,0.288,0.232,0.549,36.48,0.849,0.631,689,717,-0.329986,0.054393,NA
DVU2084,0.527,0.114,0.4655,0.278,0.201,0.532,42.26,0.787,0.621,541,565,-0.361947,0.116814,NA
DVU2085,0.6663,0.0995,0.432,0.294,0.281,0.577,34.76,0.853,0.613,1029,1071,-0.364986,0.106443,NA
DVU2086,0.3479,0.1633,0.443,0.201,0.079,0.447,51.23,0.667,0.626,465,480,-0.065208,0.066667,NA
DVU2087,0.4316,0.1961,0.4121,0.228,0.089,0.465,47.06,0.704,0.616,260,269,-0.157621,0.081784,NA
DVU2088,0.5197,0.17,0.3451,0.234,0.138,0.481,43.32,0.761,0.613,293,306,1.006863,0.078431,NA
DVU2089,0.4167,0.4,0.1351,0.211,0.102,0.491,60.45,0.472,0.478,53,53,-0.877358,0.075472,NA
DVU2090,0.4747,0.1739,0.4381,0.255,0.067,0.492,44.55,0.765,0.646,264,278,-0.545684,0.028777,NA
DVU2091,0.5077,0.1307,0.4241,0.252,0.086,0.461,44.02,0.758,0.639,219,226,0.223009,0.039823,NA
DVU2092,0.4946,0.0893,0.4012,0.212,0.115,0.463,47.07,0.773,0.67,203,213,0.20939,0.032864,NA
DVU2093,0.4752,0.1147,0.4352,0.249,0.147,0.506,44.15,0.76,0.655,425,444,-0.175675,0.078829,NA
DVU2094,0.5362,0.0794,0.4286,0.222,0.105,0.475,37.36,0.824,0.684,255,265,0.160755,0.045283,NA
DVU2095,0.4545,0.1698,0.36,0.23,0.162,0.5,49.57,0.672,0.606,64,66,0.280303,0.030303,NA
DVU2097,0.4565,0.269,0.2675,0.186,0.084,0.452,47.72,0.6,0.54,210,223,-0.043946,0.058296,NA
DVU2098,0.558,0.1324,0.3319,0.252,0.153,0.503,42.95,0.752,0.64,602,629,0.081081,0.036566,NA
DVU2099,0.4484,0.2116,0.306,0.235,0.1,0.459,48.56,0.655,0.617,281,293,0.185665,0.023891,NA
DVU2100,0.5405,0.0796,0.4038,0.247,-0.069,0.382,45.16,0.75,0.587,136,138,0.358696,0.065217,NA
DVU2101,0.3591,0.1338,0.4187,0.205,0.092,0.462,48.67,0.692,0.671,1731,1783,0.002972,0.038699,NA
